date,draw1,draw2,draw3,draw4,draw5,powerball
2013-10-12 00:00:00 -0400,8,10,26,57,58,4
2013-10-09 00:00:00 -0400,3,9,19,33,38,18
2013-10-05 00:00:00 -0400,11,12,17,39,40,5
2013-10-02 00:00:00 -0400,4,6,25,42,51,17
2013-09-28 00:00:00 -0400,14,47,52,53,54,5
2013-09-25 00:00:00 -0400,2,7,17,49,53,23
2013-09-21 00:00:00 -0400,12,17,45,54,58,13
2013-09-18 00:00:00 -0400,7,10,22,32,35,19
2013-09-14 00:00:00 -0400,1,17,25,37,44,20
2013-09-11 00:00:00 -0400,11,19,33,42,52,33
2013-09-07 00:00:00 -0400,2,19,22,26,45,24
2013-09-04 00:00:00 -0400,2,9,26,45,47,11
2013-08-31 00:00:00 -0400,2,7,25,40,56,20
2013-08-28 00:00:00 -0400,6,7,9,19,32,13
2013-08-24 00:00:00 -0400,12,17,25,45,59,19
2013-08-21 00:00:00 -0400,30,40,42,46,48,23
2013-08-17 00:00:00 -0400,18,21,46,54,56,23
2013-08-14 00:00:00 -0400,4,11,17,43,51,20
2013-08-10 00:00:00 -0400,4,12,14,37,58,13
2013-08-07 00:00:00 -0400,5,25,30,58,59,32
2013-08-03 00:00:00 -0400,21,24,36,42,45,15
